# Mylar Exception listings
# In an effort to map ComicVine to GCD correctly, this file will be imported into Mylar.
#----
#
######### DO NOT USE THIS FILE TO ADD YOUR OWN EXCEPTIONS! ###########
# USE custom_exceptions.csv FOR USER-ADDED EXCEPTIONS.               #
# NOT DOING THIS WILL RESULT IN LOSING YOUR USER-ADDED EXCEPTIONS.   #
######################################################################
#
#-----Volume Spanning Series-----
#Fantastic Four
4,2045,none,1482/10251/6029/11218/62349
#Amazing Spider-man
2,2127,none,1570/7794/11288
#2000 A.D.
4,19752,none,11289/11295/11294/11292/11293
#--------
#-----Mismatched Names------
99,3092,2605,none
99,50389,66832,none
99,42947,61242,none
99,51382,68125,none
99,51622,68322,none
99,4937,4611,none
99,7300,7880,none
99,46744,67757,none
99,42821,60934,none
99,42947,61242,none
99,42322,60917,none
99,53920,69871,none
